track_name,artist(s)_name,,released_year,released_month,,in_spotify_playlists,in_spotify_charts,,,,,,,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Take Me To Church,Hozier,,2013,9,,23804,31,,,,,,,129,E,Minor,57,41,66,63,0,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",,2022,12,,849,22,,,,,,,157,G,Major,54,75,60,30,0,7,5
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,,2021,4,,2619,12,,,,,,,130,F#,Major,63,49,73,5,0,9,3
Titi Me Preguntï¿,Bad Bunny,,2022,5,,9037,42,,,,,,,107,F,Minor,65,19,72,10,0,13,25
Better Than Revenge (Taylor's Version),Taylor Swift,,2023,7,,86,11,,,,,,,146,B,Minor,50,67,89,0,0,19,8
Shut up My Moms Calling,Hotel Ugly,,2020,2,,1788,14,,,,,,,139,A,Minor,48,37,41,32,0,10,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,,1968,7,,15890,14,,,,,,,116,,Major,74,76,70,7,0,13,3
Es un Secreto,Plan B,,2010,7,,492,36,,,,,,,95,F#,Minor,84,52,77,12,0,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",,2023,6,,773,33,,,,,,,170,G#,Minor,62,55,80,15,0,37,7
Ditto,NewJeans,,2022,12,,1154,22,,,,,,,134,F#,Minor,81,18,64,3,0,10,11
Take On Me,a-ha,,1984,10,,44927,17,,,,,,,84,F#,Minor,57,86,90,2,0,9,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",,2023,6,,551,4,,,,,,,146,B,Minor,61,20,48,21,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",,2023,5,,577,14,,,,,,,74,A#,Minor,53,24,67,11,0,10,28
Acrï¿½ï¿½s,Shakira,,2023,5,,955,29,,,,,,,144,B,Major,75,35,48,84,0,10,12
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",,2022,11,,995,19,,,,,,,136,B,Minor,77,79,73,15,0,27,10
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",,2023,5,,178,6,,,,,,,100,E,Major,56,53,55,53,0,12,4
S-Class,Stray Kids,,2023,6,,290,19,,,,,,,105,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,,2023,5,,547,0,,,,,,,106,F,Major,67,24,78,15,0,30,4
Chanel,"Becky G, Peso Pluma",,2023,3,,681,10,,,,,,,132,D,Major,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",,2023,6,,332,5,,,,,,,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Kaliii, Kaliii",,2023,3,,1197,13,,,,,,,155,C#,Major,82,51,39,2,0,9,49
Abcdario,"Junior H, Eden Muï¿½ï",,2023,5,,262,5,,,,,,,129,G#,Major,70,42,43,78,0,11,3
Obsessed,"Abhijay Sharma, Riar Saab",,2022,9,,161,6,,,,,,,135,F,Minor,80,85,74,62,0,8,9
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",,2023,6,,185,3,,,,,,,98,A#,Minor,73,45,62,28,0,13,13
FLOWER,JISOO,,2023,3,,839,18,,,,,,,124,A,Minor,84,64,39,3,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",,2023,6,,259,0,,,,,,,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,Ed Sheeran,,2023,3,,2915,30,,,,,,,107,D,Major,78,39,53,30,0,11,6
Escapism.,"RAYE, 070 Shake",,2022,10,,5129,25,,,,,,,96,D,Major,54,25,74,14,0,9,11
La Jumpa,"Arcangel, Bad Bunny",,2022,11,,3794,34,,,,,,,123,G#,Major,71,58,70,30,0,32,19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",,2023,5,,588,0,,,,,,,90,G#,Major,62,7,62,6,0,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",,2022,12,,2959,16,,,,,,,117,F,Minor,72,45,59,14,0,20,21
Las Morras,"BLESSD, Peso Pluma",,2023,4,,291,8,,,,,,,133,A,Minor,78,90,84,31,0,7,4
CHORRITO PA LAS ANIMAS,Feid,,2022,12,,2321,36,,,,,,,96,G#,Minor,74,61,83,11,0,35,6
Ch y la Pizza,"Fuerza Regida, Natanael Cano",,2022,12,,536,10,,,,,,,149,G#,Major,66,85,60,40,0,14,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",,2023,5,,359,2,,,,,,,110,F#,Minor,66,32,40,81,0,11,3
Players,Coi Leray,,2022,11,,4096,6,,,,,,,105,F#,Major,95,62,52,3,0,5,16
Bite Me,ENHYPEN,,2023,5,,349,69,,,,,,,105,C#,Major,80,69,78,28,0,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",,2023,5,,381,5,,,,,,,134,B,Major,76,61,58,6,0,16,3
Normal,Feid,,2022,7,,2461,36,,,,,,,170,E,Minor,71,59,56,4,0,27,12
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",,2023,6,,277,1,,,,,,,81,F#,Major,59,26,60,46,1,25,13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",,2023,3,,967,5,,,,,,,154,F#,Major,63,75,92,31,0,91,5
Bad Habit,Steve Lacy,,2022,6,,8186,12,,,,,,,169,C#,Major,69,69,51,63,0,38,4
CUFF IT,Beyoncï¿,,2022,7,,7842,10,,,,,,,115,G,Major,78,64,69,4,0,7,14
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",,2023,6,,215,6,,,,,,,84,A,Minor,43,14,74,1,0,19,8
69,"Nicky Jam, Feid",,2023,5,,1134,22,,,,,,,93,G#,Major,79,58,62,11,0,11,23
Niï¿½ï¿½a Bo,"Sean Paul, Feid",,2023,4,,1305,34,,,,,,,91,G,Major,82,47,62,10,0,10,15
Search & Rescue,Drake,,2023,4,,2066,6,,,,,,,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",,2023,5,,896,0,,,,,,,126,C#,Major,78,20,70,1,0,16,4
Lavender Haze,Taylor Swift,,2022,10,,3763,8,,,,,,,97,A#,Major,73,10,44,26,0,16,8
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",,2023,6,,197,0,,,,,,,101,F,Major,92,59,51,41,51,26,8
Efecto,Bad Bunny,,2022,5,,4004,33,,,,,,,98,G,Minor,80,23,48,14,0,6,5
Erro Gostoso - Ao Vivo,Simone Mendes,,2023,1,,984,5,,,,,,,154,F#,Major,59,63,89,18,0,80,9
Cupido,Tini,,2023,2,,1240,24,,,,,,,120,A,Major,91,63,58,52,0,31,22
Just Wanna Rock,Lil Uzi Vert,,2022,10,,3995,13,,,,,,,150,B,Major,49,4,55,7,0,6,3
Unstoppable,Sia,,2016,1,,7681,13,,,,,,,174,A,Major,47,27,78,11,0,10,8
Until I Found You,Stephen Sanchez,,2021,9,,4427,4,,,,,,,202,A#,Major,34,25,51,69,0,18,4
Rich Flex,"Drake, 21 Savage",,2022,11,,4657,18,,,,,,,153,B,Minor,56,42,52,5,0,36,24
Easy On Me,Adele,,2021,10,,10195,20,,,,,,,142,F,Major,60,13,37,58,0,13,3
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",,2023,5,,269,4,,,,,,,108,A,Minor,84,55,47,26,0,20,64
Danger (Spider) (Offset & JID),"Offset, JID",,2023,6,,214,0,,,,,,,143,B,Major,83,25,69,4,0,23,12
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,,2023,2,,845,2,,,,,,,108,D,Major,67,55,67,60,0,80,5
The Real Slim Shady,Eminem,,2000,1,,20763,27,,,,,,,104,F,Minor,95,78,66,3,0,4,6
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",,2022,12,,1267,20,,,,,,,93,F#,Minor,84,96,79,43,0,18,11
The Color Violet,Tory Lanez,,2021,12,,2585,32,,,,,,,105,F#,Minor,65,46,53,16,0,9,5
Glimpse of Us,Joji,,2022,6,,6330,6,,,,,,,170,G#,Major,44,27,32,89,0,14,5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",,2023,5,,675,1,,,,,,,178,C#,Minor,62,56,66,18,0,12,5
Curtains,Ed Sheeran,,2023,5,,715,0,,,,,,,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",,2023,5,,327,13,,,,,,,104,E,Minor,80,38,88,11,0,11,5
Haegeum,Agust D,,2023,4,,244,12,,,,,,,85,G,Major,70,83,84,31,0,47,30
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",,2023,4,,385,4,,,,,,,117,F#,Minor,77,69,58,39,0,26,5
MIENTRAS ME CURO DEL CORA,Karol G,,2023,2,,1020,35,,,,,,,80,,Major,52,57,48,86,0,15,39
Never Felt So Alone,Labrinth,,2023,4,,1730,3,,,,,,,98,F,Major,44,36,41,50,0,38,5
X SI VOLVEMOS,"Karol G, Romeo Santos",,2023,2,,2127,33,,,,,,,178,C#,Minor,79,58,78,34,0,11,25
ceilings,Lizzy McAlpine,,2022,4,,3242,9,,,,,,,148,A,Major,51,27,33,48,0,22,3
Cupid,Fifty Fifty,,2023,2,,526,10,,,,,,,120,D,Major,77,94,66,65,0,38,3
I AM,IVE,,2023,4,,366,15,,,,,,,122,E,Minor,68,38,88,1,0,8,5
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,,1997,1,,472,2,,,,,,,144,F,Major,74,75,73,42,0,9,4
Shorty Party,"Cartel De Santa, La Kelly",,2023,3,,432,12,,,,,,,96,D,Major,93,47,47,33,0,10,36
Super,SEVENTEEN,,2023,4,,271,12,,,,,,,137,G#,Major,77,35,88,16,0,17,9
Slut Me Out,NLE Choppa,,2022,4,,816,4,,,,,,,121,F#,Minor,94,71,61,12,0,53,42
Double Fantasy (with Future),"The Weeknd, Future",,2023,4,,1169,0,,,,,,,119,A,Minor,60,10,57,1,0,50,3
All Of The Girls You Loved Before,Taylor Swift,,2019,8,,1282,6,,,,,,,96,D,Major,72,40,47,71,0,13,4
PROVENZA,Karol G,,2022,4,,6587,34,,,,,,,111,C#,Major,87,53,52,66,1,11,5
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",,2023,4,,1444,4,,,,,,,148,A,Major,90,74,68,14,0,10,19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",,2023,2,,356,10,,,,,,,182,A,Major,57,80,59,8,0,6,5
Shivers,Ed Sheeran,,2021,9,,10147,30,,,,,,,141,D,Major,79,82,86,28,0,4,9
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",,2022,12,,265,6,,,,,,,145,E,Minor,76,80,81,19,0,6,9
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",,2023,4,,351,9,,,,,,,110,B,Minor,76,26,70,1,0,41,6
Komang,Raim Laode,,2022,8,,158,4,,,,,,,134,G,Major,70,35,41,41,0,10,3
DESPECHï¿,ROSALï¿½,,2022,7,,7613,33,,,,,,,130,G,Major,92,78,62,18,0,6,10
Made You Look,Meghan Trainor,,2022,10,,3956,6,,,,,,,145,A#,Major,84,88,53,35,0,8,7
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",,2023,2,,1638,10,,,,,,,130,B,Minor,69,36,90,1,10,15,4
No Se Va,Grupo Frontera,,2022,4,,924,18,,,,,,,173,,Major,59,69,53,12,0,23,3
Punto G,Quevedo,,2022,11,,1985,35,,,,,,,92,B,Minor,75,55,76,25,0,10,15
Lovers Rock,TV Girl,,2014,6,,6339,13,,,,,,,105,F,Minor,56,57,87,0,1,10,4
METAMORPHOSIS,INTERWORLD,,2021,11,,1561,24,,,,,,,175,G,Minor,59,15,64,43,90,12,10
Mami Chula,"Quevedo, Jhayco",,2023,4,,875,4,,,,,,,120,G,Minor,80,33,70,22,0,9,4
En Paris,"El Chachito, Junior H",,2022,12,,406,5,,,,,,,139,D#,Minor,70,77,48,37,0,12,5
Set Me Free Pt.2,Jimin,,2023,3,,340,13,,,,,,,132,,Minor,59,56,82,12,0,12,6
I Was Never There,"The Weeknd, Gesaffelstein",,2018,3,,4188,15,,,,,,,114,A#,Major,32,17,74,14,0,17,3
Don't ever say love me (feat. RM of BTS),"RM, Colde",,2023,5,,105,0,,,,,,,145,B,Minor,54,19,48,36,0,37,5
Shut Down,BLACKPINK,,2022,9,,1524,17,,,,,,,110,,Major,82,67,69,0,0,18,4
Gato de Noche,"Nengo Flow, Bad Bunny",,2022,12,,2651,30,,,,,,,94,G#,Major,89,61,66,17,0,36,16
Call Out My Name,The Weeknd,,2018,3,,11087,6,,,,,,,134,C#,Major,45,17,60,21,0,33,4
Like Crazy (English Version),Jimin,,2023,3,,373,19,,,,,,,120,G,Major,62,32,76,0,0,39,4
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",,2023,2,,200,4,,,,,,,123,G,Minor,70,86,68,24,0,11,4
Sunroof,"Nicky Youre, Dazy",,2021,12,,3741,17,,,,,,,131,A#,Major,77,84,71,35,0,15,4
Lose Yourself - Soundtrack Version,Eminem,,2002,1,,32502,21,,,,,,,171,D,Major,70,6,73,1,0,36,26
Superman,"Eminem, Dina Rae",,2002,5,,7615,14,,,,,,,130,E,Minor,80,64,76,2,0,20,6
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",,2023,3,,1208,34,,,,,,,94,B,Major,82,53,67,34,0,9,8
People Pt.2 (feat. IU),"IU, Agust D",,2023,4,,209,4,,,,,,,89,G,Minor,73,44,57,39,0,32,6
REMIX EXCLUSIVO,Feid,,2023,3,,1235,9,,,,,,,87,F,Minor,65,71,56,4,0,15,20
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",,2023,3,,654,3,,,,,,,124,B,Minor,72,79,78,55,0,15,30
DOGTOOTH,"Tyler, The Creator",,2023,3,,1479,0,,,,,,,78,G#,Major,71,80,65,51,0,22,32
10:35,"Tiï¿½ï¿½sto, Tate M",,2022,11,,4942,26,,,,,,,120,G#,Major,70,70,79,7,0,18,10
SORRY NOT SORRY,"Tyler, The Creator",,2023,3,,709,0,,,,,,,96,F#,Minor,48,50,80,40,0,37,20
HAPPY,NF,,2023,3,,660,0,,,,,,,106,G,Major,73,22,86,31,0,12,4
La Bebe,Yng Lvcas,,2021,12,,489,17,,,,,,,170,D,Minor,78,75,46,62,0,12,35
I Know - PR1SVX Edit,"Kanii, PR1ISVX",,2023,3,,407,0,,,,,,,134,B,Minor,67,11,76,8,47,30,7
Late Night Talking,Harry Styles,,2022,5,,7461,8,,,,,,,115,A#,Major,71,90,73,30,0,11,5
Leï¿½,Marï¿½ï¿½lia Mendo,,2022,12,,993,4,,,,,,,130,F#,Major,74,79,87,45,0,30,3
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",,2020,3,,9161,5,,,,,,,118,,Major,65,63,79,3,0,10,3
Something in the Orange,Zach Bryan,,2022,4,,3282,12,,,,,,,110,G,Major,59,22,38,42,0,12,3
VOID,Melanie Martinez,,2023,3,,596,0,,,,,,,100,A,Major,72,42,66,18,4,19,4
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",,2023,3,,320,6,,,,,,,142,G,Minor,70,76,79,26,0,11,7
Midnight Rain,Taylor Swift,,2022,10,,2612,4,,,,,,,140,,Major,64,18,37,72,0,12,7
If We Ever Broke Up,Mae Stephens,,2023,2,,2040,4,,,,,,,116,G,Major,90,96,73,62,0,9,4
You Proof,Morgan Wallen,,2022,5,,2128,9,,,,,,,120,A,Major,73,64,85,25,0,61,3
LA INOCENTE,"Feid, Mora",,2022,4,,2598,37,,,,,,,92,F,Minor,76,46,79,31,0,7,6
Malas Decisiones,Kenia OS,,2022,10,,542,2,,,,,,,110,G#,Minor,81,64,79,5,0,31,3
Murder In My Mind,Kordhell,,2022,1,,2459,20,,,,,,,120,A#,Major,71,57,97,1,0,13,11
Gangsta's Paradise,"Coolio, L.V.",,1995,7,,10624,17,,,,,,,80,G#,Major,63,40,61,9,0,56,6
CAIRO,"Karol G, Ovy On The Drums",,2022,11,,2418,26,,,,,,,115,F,Minor,95,43,69,47,0,9,31
I Love You So,The Walters,,2014,11,,7536,7,,,,,,,76,A#,Major,58,46,67,65,0,13,4
Dark Red,Steve Lacy,,2017,2,,10431,7,,,,,,,172,F#,Major,60,77,78,45,0,12,6
Say You Won't Let Go,James Arthur,,2016,9,,15722,16,,,,,,,99,A#,Major,40,45,56,69,0,9,5
The Hills,The Weeknd,,2015,5,,25744,4,,,,,,,136,,Minor,36,12,57,9,0,14,8
Heart To Heart,Mac DeMarco,,2019,5,,1640,0,,,,,,,150,G#,Minor,90,64,14,67,35,11,10
Peaches (from The Super Mario Bros. Movie),Jack Black,,2023,4,,34,0,,,,,,,92,A#,Minor,71,41,31,79,0,10,5
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",,2022,12,,1845,16,,,,,,,95,C#,Major,77,72,87,17,0,7,5
LOKERA,"Brray, Rauw Alejandro, Lyanno",,2022,7,,3301,30,,,,,,,102,B,Minor,83,58,83,21,0,10,5
Low,SZA,,2022,12,,1911,0,,,,,,,145,,Minor,70,34,55,43,0,16,6
Numb,Linkin Park,,2003,3,,20111,5,,,,,,,110,A,Major,50,24,86,0,0,64,4
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",,2023,2,,1529,0,,,,,,,95,,Major,64,30,77,46,0,38,6
on the street (with J. Cole),"j-hope, J. Cole",,2023,3,,615,2,,,,,,,94,B,Minor,68,81,82,53,0,9,13
One Thing At A Time,Morgan Wallen,,2022,12,,811,4,,,,,,,142,G,Major,61,92,91,0,0,26,3
Miss You,"Robin Schulz, Oliver Tree",,2022,8,,5730,10,,,,,,,145,F#,Minor,59,20,74,1,0,15,5
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,,2023,3,,356,4,,,,,,,121,F#,Minor,64,67,80,0,0,36,3
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,,2023,3,,604,6,,,,,,,140,D#,Minor,66,43,76,49,0,12,3
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",,2023,2,,1190,0,,,,,,,137,C#,Minor,84,44,67,8,0,11,6
Everything I Love,Morgan Wallen,,2023,1,,579,0,,,,,,,104,G#,Major,56,72,85,0,0,15,3
Heaven,Niall Horan,,2023,2,,1553,2,,,,,,,92,F,Major,57,68,76,7,0,33,3
LET GO,Central Cee,,2022,12,,2301,20,,,,,,,146,D,Minor,74,51,45,86,0,21,38
Sial,Mahalini,,2023,1,,134,4,,,,,,,120,D,Major,56,20,43,89,0,12,4
I Wrote The Book,Morgan Wallen,,2023,1,,430,0,,,,,,,144,D,Major,68,83,81,9,0,8,4
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",,2022,11,,86,0,,,,,,,94,A,Major,59,44,56,80,0,6,3
SPIT IN MY FACE!,ThxSoMch,,2022,10,,629,14,,,,,,,94,G#,Major,73,65,79,5,2,11,6
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",,2022,12,,1701,15,,,,,,,113,G,Minor,79,66,74,8,0,11,5
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",,2023,3,,329,0,,,,,,,148,E,Major,50,49,76,12,0,12,3
Red Ruby Da Sleeze,Nicki Minaj,,2023,3,,1168,0,,,,,,,98,C#,Major,70,29,73,12,0,11,26
Kahani Suno 2.0,Kaifi Khalil,,2022,5,,162,6,,,,,,,140,B,Major,58,26,38,91,0,10,4
Nobody Gets Me,SZA,,2022,12,,2536,6,,,,,,,100,G,Major,36,28,28,81,0,18,3
PERO Tï¿,"Karol G, Quevedo",,2023,2,,387,11,,,,,,,140,F#,Major,86,68,79,39,0,11,29
Hype Boy,NewJeans,,2022,8,,892,17,,,,,,,100,E,Minor,59,78,94,27,0,29,23
Bloody Mary,Lady Gaga,,2011,1,,3909,0,,,,,,,100,A,Minor,59,49,65,2,0,13,3
Monotonï¿½,"Ozuna, Shakira",,2022,10,,3645,15,,,,,,,132,,Minor,87,82,70,42,0,21,5
ýýý98 Braves,Morgan Wallen,,2023,3,,282,0,,,,,,,142,D,Major,49,48,67,10,0,26,3
WANDA,Quevedo,,2023,1,,888,22,,,,,,,176,E,Minor,72,96,63,25,0,21,7
Thought You Should Know,Morgan Wallen,,2022,5,,968,4,,,,,,,140,F#,Major,53,51,70,49,0,14,3
In The End,Linkin Park,,2000,10,,25065,6,,,,,,,105,D#,Minor,55,40,90,1,0,32,6
Zona De Perigo,Leo Santana,,2022,12,,531,4,,,,,,,135,F,Major,81,97,77,75,0,35,3
Lovezinho,Treyce,,2022,7,,242,0,,,,,,,128,E,Minor,82,61,59,30,0,12,4
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",,2022,6,,5281,14,,,,,,,101,F,Major,74,43,69,12,0,12,7
Neverita,Bad Bunny,,2022,5,,2590,30,,,,,,,122,A#,Major,88,43,50,7,0,14,5
Vista Al Mar,Quevedo,,2022,9,,1769,34,,,,,,,105,,Minor,76,49,56,80,12,10,13
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",,2022,12,,454,4,,,,,,,83,C#,Major,53,40,36,73,0,11,33
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",,2021,9,,6180,7,,,,,,,77,B,Minor,72,59,76,24,0,42,28
Revenge,XXXTENTACION,,2017,8,,3600,11,,,,,,,140,B,Minor,75,18,25,78,0,11,26
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",,2022,11,,1254,6,,,,,,,158,C#,Major,65,72,95,31,0,92,5
LA CANCIï¿½,"J Balvin, Bad Bunny",,2019,6,,6398,31,,,,,,,176,G,Major,75,43,65,15,0,11,32
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",,2022,10,,660,15,,,,,,,98,B,Major,73,88,57,56,0,5,2
Love Again,The Kid Laroi,,2023,1,,1283,0,,,,,,,107,B,Minor,66,47,40,72,0,11,3
After Hours,The Weeknd,,2020,2,,8084,6,,,,,,,109,F,Minor,66,16,57,10,1,12,3
About Damn Time,Lizzo,,2022,7,,2332,2,,,,,,,109,A#,Minor,84,72,74,10,0,34,7
Born With A Beer In My Hand,Morgan Wallen,,2023,3,,203,0,,,,,,,148,,Major,53,61,81,5,0,36,4
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,,2020,5,,685,14,,,,,,,158,F#,Minor,60,52,76,17,0,19,5
Besos Moja2,"Wisin & Yandel, ROSALï¿½",,2022,9,,2460,13,,,,,,,94,F,Minor,74,64,73,6,0,10,6
Maan Meri Jaan,King,,2022,10,,288,6,,,,,,,96,F#,Minor,70,40,51,35,0,10,4
